vdc,ward,parcel_id,landuse,area
गा.वि.स,वार्ड नं.,कित्ता नं.,बर्गीकृत क्षेत्र,"बर्ग मिटर 
(क्षे.फ)"
अमाव,1,2, कृषि क्षेत्र,3962.73
अमाव,1,2,आवासीय क्षेत्र,3333.91
अमाव,1,5, कृषि क्षेत्र,5474.08
अमाव,1,5,आवासीय क्षेत्र,1217.09
अमाव,1,8, कृषि क्षेत्र,925.16
अमाव,1,8,आवासीय क्षेत्र,2564.26
अमाव,1,9,आवासीय क्षेत्र,148.34
अमाव,1,10,आवासीय क्षेत्र,114.6
अमाव,1,11,आवासीय क्षेत्र,79.73
अमाव,1,13, कृषि क्षेत्र,463.76
अमाव,1,14, कृषि क्षेत्र,107.42
अमाव,1,15, कृषि क्षेत्र,101.51
अमाव,1,16, कृषि क्षेत्र,5489.95
अमाव,1,20,आवासीय क्षेत्र,398.55
अमाव,1,21, कृषि क्षेत्र,38.8
अमाव,1,21,आवासीय क्षेत्र,3358.79
अमाव,1,21,सार्वजनिक उपयोगको क्षेत्र,170.74
अमाव,1,22,आवासीय क्षेत्र,1131.84
अमाव,1,24,आवासीय क्षेत्र,1439.17
अमाव,1,24,सार्वजनिक उपयोगको क्षेत्र,151.84
अमाव,1,25,आवासीय क्षेत्र,616.53
अमाव,1,28, कृषि क्षेत्र,333.29
अमाव,1,28,आवासीय क्षेत्र,1668.12
अमाव,1,29, कृषि क्षेत्र,4031.5
अमाव,1,29,आवासीय क्षेत्र,657.16
अमाव,1,30, कृषि क्षेत्र,4149.87
अमाव,1,30,आवासीय क्षेत्र,26.39
अमाव,1,33,आवासीय क्षेत्र,2363.7
अमाव,1,33,सार्वजनिक उपयोगको क्षेत्र,199.53
अमाव,1,34, कृषि क्षेत्र,3050.34
अमाव,1,34,आवासीय क्षेत्र,20734.61
अमाव,1,34,सार्वजनिक उपयोगको क्षेत्र,1550.53
अमाव,1,36, कृषि क्षेत्र,9221.52
अमाव,1,36,आवासीय क्षेत्र,2323.49
अमाव,1,38, कृषि क्षेत्र,9046.54
अमाव,1,38,आवासीय क्षेत्र,9623.21
अमाव,1,38,सार्वजनिक उपयोगको क्षेत्र,1024.12
अमाव,1,38,"नदी, खोला, ताल, सीमसार क्षेत्र",6.21
अमाव,1,40, कृषि क्षेत्र,614.88
अमाव,1,41, कृषि क्षेत्र,704.46
अमाव,1,43, कृषि क्षेत्र,916.34
अमाव,1,44, कृषि क्षेत्र,782.34
अमाव,1,45, कृषि क्षेत्र,908.15
अमाव,1,46, कृषि क्षेत्र,792.35
अमाव,1,47, कृषि क्षेत्र,161.08
अमाव,1,48, कृषि क्षेत्र,999.57
अमाव,1,50, कृषि क्षेत्र,16822.02
अमाव,1,51, कृषि क्षेत्र,2234.02
अमाव,1,52, कृषि क्षेत्र,1869.55
अमाव,1,53, कृषि क्षेत्र,469.27
अमाव,1,54, कृषि क्षेत्र,532.77
अमाव,1,55, कृषि क्षेत्र,545.93
अमाव,1,61, कृषि क्षेत्र,3092.02
अमाव,1,61,आवासीय क्षेत्र,1209.58
अमाव,1,68, कृषि क्षेत्र,6726.17
अमाव,1,69, कृषि क्षेत्र,5856.76
अमाव,1,70, कृषि क्षेत्र,3381.32
अमाव,1,71, कृषि क्षेत्र,888.3
अमाव,1,72, कृषि क्षेत्र,2598.13
अमाव,1,74, कृषि क्षेत्र,15133.76
अमाव,1,75, कृषि क्षेत्र,239.17
अमाव,1,77, कृषि क्षेत्र,730.25
अमाव,1,79, कृषि क्षेत्र,326.6
अमाव,1,80, कृषि क्षेत्र,1477.11
अमाव,1,83, कृषि क्षेत्र,3655.19
अमाव,1,83,आवासीय क्षेत्र,964.88
अमाव,1,83,सार्वजनिक उपयोगको क्षेत्र,113.82
अमाव,1,83,"नदी, खोला, ताल, सीमसार क्षेत्र",248.59
अमाव,1,84, कृषि क्षेत्र,9367.71
अमाव,1,84,आवासीय क्षेत्र,2791.06
अमाव,1,84,सार्वजनिक उपयोगको क्षेत्र,287.87
अमाव,1,84,"नदी, खोला, ताल, सीमसार क्षेत्र",357.78
अमाव,1,88, कृषि क्षेत्र,5270.59
अमाव,1,89, कृषि क्षेत्र,2911.95
अमाव,1,90, कृषि क्षेत्र,2195.32
अमाव,1,91, कृषि क्षेत्र,3461.55
अमाव,1,91,"नदी, खोला, ताल, सीमसार क्षेत्र",106.93
अमाव,1,92, कृषि क्षेत्र,1100.87
अमाव,1,93, कृषि क्षेत्र,1024.84
अमाव,1,94, कृषि क्षेत्र,786.89
अमाव,1,95, कृषि क्षेत्र,4837.28
अमाव,1,97, कृषि क्षेत्र,1706.25
अमाव,1,98, कृषि क्षेत्र,1120.78
अमाव,1,100, कृषि क्षेत्र,1005.98
अमाव,1,101, कृषि क्षेत्र,284.35
अमाव,1,101,"नदी, खोला, ताल, सीमसार क्षेत्र",43.28
अमाव,1,103, कृषि क्षेत्र,196.16
अमाव,1,103,"नदी, खोला, ताल, सीमसार क्षेत्र",457.62
अमाव,1,104, कृषि क्षेत्र,196.09
अमाव,1,104,"नदी, खोला, ताल, सीमसार क्षेत्र",12.13
अमाव,1,105, कृषि क्षेत्र,2348.58
अमाव,1,105,"नदी, खोला, ताल, सीमसार क्षेत्र",1804.82
अमाव,1,107, कृषि क्षेत्र,1994.31
अमाव,1,107,आवासीय क्षेत्र,597.68
अमाव,1,110, कृषि क्षेत्र,5428.17
अमाव,1,110,आवासीय क्षेत्र,706.38
अमाव,1,111, कृषि क्षेत्र,676.06
अमाव,1,112, कृषि क्षेत्र,272.52
अमाव,1,115, कृषि क्षेत्र,1433.46
अमाव,1,116, कृषि क्षेत्र,1471.95
अमाव,1,117, कृषि क्षेत्र,1239.82
अमाव,1,118, कृषि क्षेत्र,1442.54
अमाव,1,121, कृषि क्षेत्र,5039.43
अमाव,1,121,आवासीय क्षेत्र,1010.32
अमाव,1,122, कृषि क्षेत्र,1814.26
अमाव,1,123, कृषि क्षेत्र,3788.22
अमाव,1,123,"नदी, खोला, ताल, सीमसार क्षेत्र",696.06
अमाव,1,124, कृषि क्षेत्र,807.28
अमाव,1,125, कृषि क्षेत्र,826.33
अमाव,1,127, कृषि क्षेत्र,6810.67
अमाव,1,127,आवासीय क्षेत्र,2285.02
अमाव,1,127,"नदी, खोला, ताल, सीमसार क्षेत्र",79.81
अमाव,1,128, कृषि क्षेत्र,140.12
अमाव,1,128,आवासीय क्षेत्र,476.11
अमाव,1,129, कृषि क्षेत्र,199.38
अमाव,1,129,आवासीय क्षेत्र,247.99
अमाव,1,130, कृषि क्षेत्र,237.19
अमाव,1,130,आवासीय क्षेत्र,207.26
अमाव,1,131, कृषि क्षेत्र,4257.97
अमाव,1,131,आवासीय क्षेत्र,1008.89
अमाव,1,131,"नदी, खोला, ताल, सीमसार क्षेत्र",826.42
अमाव,1,132, कृषि क्षेत्र,5890.98
अमाव,1,132,आवासीय क्षेत्र,4529.46
अमाव,1,132,सार्वजनिक उपयोगको क्षेत्र,668.19
अमाव,1,132,"नदी, खोला, ताल, सीमसार क्षेत्र",10318.59
अमाव,1,134, कृषि क्षेत्र,771.81
अमाव,1,139, कृषि क्षेत्र,3186.27
अमाव,1,140, कृषि क्षेत्र,5382.9
अमाव,1,144,आवासीय क्षेत्र,754.29
अमाव,1,144,सार्वजनिक उपयोगको क्षेत्र,191.95
अमाव,1,145, कृषि क्षेत्र,1225.67
अमाव,1,145,"नदी, खोला, ताल, सीमसार क्षेत्र",324.42
अमाव,1,146, कृषि क्षेत्र,861.58
अमाव,1,146,"नदी, खोला, ताल, सीमसार क्षेत्र",1097.39
अमाव,1,147, कृषि क्षेत्र,3675.05
अमाव,1,147,आवासीय क्षेत्र,2837.94
अमाव,1,147,सार्वजनिक उपयोगको क्षेत्र,136.6
अमाव,1,148, कृषि क्षेत्र,24622.47
अमाव,1,148,आवासीय क्षेत्र,1790.39
अमाव,1,148,सार्वजनिक उपयोगको क्षेत्र,21.27
अमाव,1,149, कृषि क्षेत्र,1027.65
अमाव,1,149,आवासीय क्षेत्र,324.05
अमाव,1,151, कृषि क्षेत्र,2234.99
अमाव,1,151,आवासीय क्षेत्र,1038.82
अमाव,1,153, कृषि क्षेत्र,416.6
अमाव,1,153,आवासीय क्षेत्र,374.96
अमाव,1,154, कृषि क्षेत्र,463.67
अमाव,1,154,आवासीय क्षेत्र,233.65
अमाव,1,155, कृषि क्षेत्र,81.87
अमाव,1,155,आवासीय क्षेत्र,296.75
अमाव,1,156, कृषि क्षेत्र,1104.42
अमाव,1,159, कृषि क्षेत्र,935.43
अमाव,1,160, कृषि क्षेत्र,753.83
अमाव,1,161, कृषि क्षेत्र,1045.67
अमाव,1,162, कृषि क्षेत्र,1026.64
अमाव,1,167, कृषि क्षेत्र,7950.22
अमाव,1,168, कृषि क्षेत्र,690.84
अमाव,1,169, कृषि क्षेत्र,1730.74
अमाव,1,171, कृषि क्षेत्र,1019.1
अमाव,1,173, कृषि क्षेत्र,1618.09
अमाव,1,173,आवासीय क्षेत्र,422.48
अमाव,1,175,आवासीय क्षेत्र,2572.72
अमाव,1,175,सार्वजनिक उपयोगको क्षेत्र,14.2
अमाव,1,176,आवासीय क्षेत्र,827.97
अमाव,1,177, कृषि क्षेत्र,429.21
अमाव,1,179, कृषि क्षेत्र,6010.49
अमाव,1,179,"नदी, खोला, ताल, सीमसार क्षेत्र",797.45
अमाव,1,181, कृषि क्षेत्र,676.57
अमाव,1,183, कृषि क्षेत्र,1704.18
अमाव,1,185,आवासीय क्षेत्र,529.64
अमाव,1,188, कृषि क्षेत्र,4734.03
अमाव,1,189, कृषि क्षेत्र,2389.77
अमाव,1,190, कृषि क्षेत्र,2629.48
अमाव,1,191, कृषि क्षेत्र,1830.97
अमाव,1,191,आवासीय क्षेत्र,595.77
अमाव,1,193, कृषि क्षेत्र,1131.53
अमाव,1,196, कृषि क्षेत्र,4668.1
अमाव,1,197, कृषि क्षेत्र,1192.59
अमाव,1,197,आवासीय क्षेत्र,535.98
अमाव,1,198, कृषि क्षेत्र,3214.12
अमाव,1,199, कृषि क्षेत्र,1763.33
अमाव,1,200, कृषि क्षेत्र,857.49
अमाव,1,201,आवासीय क्षेत्र,487.02
अमाव,1,203,आवासीय क्षेत्र,1189.69
अमाव,1,205, कृषि क्षेत्र,827.71
अमाव,1,206, कृषि क्षेत्र,1185.94
अमाव,1,207,आवासीय क्षेत्र,1625
