vdc,ward,parcel_id,Landuse,Area
अमाव,1,2, कृषि क्षेत्र,0-11-14
अमाव,1,2,आवासीय क्षेत्र,0-9-17
अमाव,1,5, कृषि क्षेत्र,0-16-3
अमाव,1,5,आवासीय क्षेत्र,0-3-12
अमाव,1,8, कृषि क्षेत्र,0-2-15
अमाव,1,8,आवासीय क्षेत्र,0-7-11
अमाव,1,9,आवासीय क्षेत्र,0-0-9
अमाव,1,10,आवासीय क्षेत्र,0-0-7
अमाव,1,11,आवासीय क्षेत्र,0-0-5
अमाव,1,13, कृषि क्षेत्र,0-1-7
अमाव,1,14, कृषि क्षेत्र,0-0-6
अमाव,1,15, कृषि क्षेत्र,0-0-6
अमाव,1,16, कृषि क्षेत्र,0-16-4
अमाव,1,20,आवासीय क्षेत्र,0-1-4
अमाव,1,21, कृषि क्षेत्र,0-0-2
अमाव,1,21,आवासीय क्षेत्र,0-9-18
अमाव,1,22,आवासीय क्षेत्र,0-3-7
अमाव,1,24,आवासीय क्षेत्र,0-4-5
अमाव,1,25,आवासीय क्षेत्र,0-1-16
अमाव,1,28, कृषि क्षेत्र,0-0-20
अमाव,1,28,आवासीय क्षेत्र,0-4-19
अमाव,1,29, कृषि क्षेत्र,0-11-18
अमाव,1,29,आवासीय क्षेत्र,0-1-19
अमाव,1,30, कृषि क्षेत्र,0-12-5
अमाव,1,30,आवासीय क्षेत्र,0-0-2
अमाव,1,33,आवासीय क्षेत्र,0-6-20
अमाव,1,34, कृषि क्षेत्र,0-9-0
अमाव,1,34,आवासीय क्षेत्र,3-1-5
अमाव,1,36, कृषि क्षेत्र,1-7-5
अमाव,1,36,आवासीय क्षेत्र,0-6-17
अमाव,1,38, कृषि क्षेत्र,1-6-14
अमाव,1,38,आवासीय क्षेत्र,1-8-8
अमाव,1,38,"नदी, खोला, ताल, सीमसार क्षेत्र",0-0-0
अमाव,1,40, कृषि क्षेत्र,0-1-16
अमाव,1,41, कृषि क्षेत्र,0-2-2
अमाव,1,43, कृषि क्षेत्र,0-2-14
